Arial,arial.ttf
AgencyFB,AGENCYB.TTF
BerlinFB,BRLNSR.TTF
Britanic,BRITANIC.TTF
BookAntiqua,ANTQUAB.TTF
Gothic,GOTHICB.TTF
Calibri,calibri.ttf
Century,CENTAUR.TTF
Cooper,COOPBL.TTF
Curlz,CURLZ___.TTF
CourrierNew,cour.ttf
Gabriola,Gabriola.ttf
GillSans,GILLUBCD.TTF
HighTower,HTOWERT.TTF
Lucida,lucon.ttf
Maiandra,MAIAN.TTF
Modern,MOD20.TTF
OldEnglish,OLDENGL.TTF
SnapITC,SNAP____.TTF
Tahoma,tahomabd.ttf
Times,times.ttf
Trebuchet,trebuc.ttf
Verdana,verdana.ttf
